Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
29.99	0.300	120.00	--	--	--	--	--	0.298	119.33	30.00	0.300	120.00	Current limit exceeded.
30.00	0.300	125.00	2247.31	898.93	19.33	-0.03143	-0.00015	0.300	124.38	30.00	0.300	125.00
30.01	0.300	130.00	2221.16	888.46	20.35	0.00569	-0.00012	0.302	129.29	30.00	0.300	130.00
30.01	0.300	135.00	2194.25	877.70	20.66	-0.02083	-0.00013	0.303	134.32	30.00	0.300	135.00
29.98	0.300	140.00	2175.36	870.14	20.68	-0.05890	-0.00006	0.303	139.31	30.00	0.300	140.00
30.01	0.300	145.00	2147.41	858.96	20.29	-0.06200	-0.00014	0.303	144.35	30.00	0.300	145.00
30.01	0.300	150.00	2129.42	851.77	20.57	-0.00007	-0.00008	0.303	149.42	30.00	0.300	150.00
30.01	0.300	155.00	2115.92	846.37	21.09	-0.05968	-0.00001	0.304	154.46	30.00	0.300	155.00
29.99	0.300	160.00	2095.49	838.20	19.92	-0.05011	-0.00008	0.305	159.40	30.00	0.300	160.00
29.99	0.300	165.00	2092.55	837.02	20.62	0.01762	-0.00016	0.305	164.45	30.00	0.300	165.00
29.99	0.300	170.00	2084.49	833.80	20.42	0.00583	-0.00013	0.305	169.48	30.00	0.300	170.00
29.99	0.300	175.00	2082.90	833.16	20.58	-0.01281	-0.00012	0.306	174.61	30.00	0.300	175.00
30.00	0.300	180.00	2080.56	832.22	20.46	0.03917	-0.00010	0.306	179.73	30.00	0.300	180.00
30.00	0.300	185.00	2078.08	831.23	20.22	0.02455	-0.00004	0.307	184.75	30.00	0.300	185.00
30.00	0.300	190.00	2078.80	831.52	20.04	0.05835	-0.00012	0.307	189.84	30.00	0.300	190.00
30.00	0.300	195.00	2091.12	836.45	20.42	0.06658	0.00003	0.308	194.93	30.00	0.300	195.00
30.00	0.300	200.00	2103.20	841.28	20.36	-0.00580	0.00000	0.309	199.99	30.00	0.300	200.00
30.00	0.301	205.00	2112.97	845.19	20.11	-0.06217	0.00012	0.310	205.01	30.00	0.300	205.00
30.00	0.300	210.00	2132.86	853.14	20.30	-0.01383	0.00010	0.311	209.98	30.00	0.300	210.00
30.00	0.300	215.00	2152.29	860.92	20.36	-0.09799	0.00015	0.312	214.88	30.00	0.300	215.00
30.00	0.300	220.00	2174.18	869.67	20.21	-0.07103	0.00013	0.312	219.71	30.00	0.300	220.00
30.00	0.300	225.00	2201.31	880.52	20.07	-0.05677	0.00015	0.313	224.49	30.00	0.300	225.00
30.00	0.300	230.00	2224.16	889.66	19.11	-0.04160	0.00014	0.313	229.28	30.00	0.300	230.00
29.99	0.300	235.00	2258.12	903.25	18.96	-0.05899	0.00015	0.313	234.04	30.00	0.300	235.00	Current limit exceeded.
29.99	0.300	240.00	--	--	--	--	--	0.312	238.87	30.00	0.300	240.00	Current limit exceeded.
