r (m)	z (m)	Br (T)	Bz (T)	B (T)	Theta (°)	Ic (A)	I (A)	I/Ic (%)
0.001035	-0.108206	0.000785	0.022987	0.023000	88.044473	--	0.000000	--
0.003971	-0.109177	-0.032283	0.012905	0.034766	158.211401	--	0.000000	--
0.003880	-0.108841	-0.029587	0.012997	0.032316	156.284945	--	0.000000	--
0.000010	-0.108561	-0.000000	0.032868	0.032868	90.000000	--	0.000000	--
0.002292	-0.107745	-0.000807	0.023286	0.023300	91.985584	--	0.000000	--
0.001785	-0.107747	-0.000681	0.023705	0.023715	91.644958	--	0.000000	--
0.000047	-0.108556	0.001180	0.022113	0.022144	86.946511	--	0.000000	--
0.003141	-0.107860	0.000149	0.022893	0.022894	89.626924	--	0.000000	--
0.000700	-0.108281	-0.000388	0.024074	0.024077	90.922696	--	0.000000	--
0.001513	-0.107804	-0.000046	0.021909	0.021910	90.121601	--	0.000000	--
0.002819	-0.107677	-0.001100	0.022839	0.022866	92.756879	--	0.000000	--
0.000067	-0.108544	-0.002060	0.023389	0.023480	95.034261	--	0.000000	--
0.000171	-0.108446	-0.002838	0.021460	0.021647	97.534007	--	0.000000	--
0.000125	-0.108494	0.001207	0.023761	0.023791	87.090905	--	0.000000	--
0.001172	-0.108017	-0.000533	0.022023	0.022029	91.386593	--	0.000000	--
0.000554	-0.108295	0.000055	0.021501	0.021501	89.854141	--	0.000000	--
0.000299	-0.108291	-0.000066	0.025101	0.025102	90.150922	--	0.000000	--
0.000829	-0.108140	-0.001876	0.021698	0.021779	94.941454	--	0.000000	--
0.000026	-0.108546	-0.005114	0.018406	0.019103	105.527900	--	0.000000	--
0.004306	-0.109630	-0.034017	0.005155	0.034405	171.383395	--	0.000000	--
0.004295	-0.109335	-0.032929	0.005295	0.033352	170.865397	--	0.000000	--
0.000146	-0.108384	-0.001797	0.025824	0.025887	93.979571	--	0.000000	--
0.000424	-0.108191	-0.003511	0.022212	0.022488	98.981205	--	0.000000	--
0.003806	-0.108208	-0.001312	0.022671	0.022709	93.310933	--	0.000000	--
0.000062	-0.108512	-0.000164	0.025124	0.025124	90.375002	--	0.000000	--
0.004270	-0.108666	-0.035480	0.020883	0.041170	149.519071	--	0.000000	--
0.000185	-0.108271	-0.000090	0.019705	0.019706	90.260317	--	0.000000	--
0.000085	-0.108485	-0.001877	0.020473	0.020559	95.238902	--	0.000000	--
0.003390	-0.107720	-0.000878	0.022380	0.022397	92.247319	--	0.000000	--
0.002337	-0.107410	0.000069	0.022959	0.022959	89.826892	--	0.000000	--
0.001852	-0.107407	0.000508	0.022637	0.022643	88.715343	--	0.000000	--
0.004552	-0.109755	-0.035329	-0.001543	0.035363	-177.500000	--	0.000000	--
0.002811	-0.107379	-0.000042	0.022923	0.022923	90.104642	--	0.000000	--
0.001356	-0.107559	-0.000893	0.023719	0.023736	92.155566	--	0.000000	--
0.004205	-0.108338	0.000295	0.022796	0.022798	89.257992	--	0.000000	--
