Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
25.00	3.000	155.00	1113.92	445.57	20.66	-0.13088	0.00156	2.934	154.28	25.00	3.000	155.00
25.00	3.000	160.00	1102.66	441.06	20.10	-0.16844	0.00201	2.929	159.28	25.00	3.000	160.00
25.00	3.000	165.00	1091.94	436.77	19.49	-0.16968	0.00224	2.926	164.29	25.00	3.000	165.00
25.01	3.000	170.00	1085.35	434.14	19.24	-0.16995	0.00250	2.922	169.34	25.00	3.000	170.00
25.01	3.000	175.00	1067.37	426.95	17.23	-0.19301	0.00259	2.920	174.50	25.00	3.000	175.00
25.01	3.000	180.00	1056.99	422.80	16.32	-0.03380	0.00210	2.919	179.73	25.00	3.000	180.00
25.01	3.000	185.00	1055.01	422.00	15.99	-0.10460	0.00283	2.920	184.89	25.00	3.000	185.00
25.01	3.000	190.00	1064.16	425.66	16.96	-0.24187	0.00405	2.922	190.04	25.00	3.000	190.00
25.01	3.000	195.00	1069.45	427.78	17.58	-0.28719	0.00461	2.926	195.18	25.00	3.000	195.00
25.00	3.000	200.00	1080.72	432.29	19.03	-0.12217	0.00457	2.931	200.26	25.00	3.000	200.00
25.00	3.000	205.00	1101.60	440.64	21.97	-0.09759	0.00489	2.937	205.32	25.00	3.000	205.00
25.01	3.000	210.00	1114.55	445.82	22.65	-0.14284	0.00502	2.944	210.37	25.00	3.000	210.00
25.01	3.000	215.00	1124.09	449.64	21.04	-0.07250	0.00516	2.952	215.38	25.00	3.000	215.00
25.00	3.000	220.00	1133.74	453.50	20.16	-0.16107	0.00511	2.961	220.33	25.00	3.000	220.00
25.00	3.000	225.00	1149.57	459.83	19.29	-0.16738	0.00495	2.970	225.25	25.00	3.000	225.00
25.01	3.000	230.00	1175.13	470.05	19.45	-0.18216	0.00481	2.978	230.17	25.00	3.000	230.00
25.01	3.000	235.00	1205.14	482.06	18.85	-0.17400	0.00449	2.987	235.04	25.00	3.000	235.00
25.00	3.000	240.00	1246.36	498.54	18.36	-0.14598	0.00406	2.994	239.91	25.00	3.000	240.00
